time	temp
45.2614	15.6321
45.4	15.6737
45.5	15.6995
45.6	15.7226
45.71	15.7456
45.9	15.7823
46	15.8013
46.1	15.8211
46.2	15.8422
46.3386	15.8751
46.4645	15.9101
46.6	15.9542
46.7	15.9911
46.8196	16.0398
47	16.1218
47.1	16.1714
47.2262	16.2377
47.372	16.3191
47.4957	16.3918
47.6	16.4553
47.7	16.518
47.8065	16.5864
47.9217	16.662
48.0431	16.7433
48.2	16.85
48.4	16.988
48.5	17.0572
48.6232	17.1425
48.7379	17.2215
48.8593	17.3043
49	17.399
49.1	17.465
49.3	17.5933
49.4	17.6551
49.603	17.7747
49.7859	17.8748
49.9142	17.9399
50.1063	18.0287
50.2363	18.0821
50.34	18.1205
50.4962	18.1709
50.6	18.1991
50.7	18.222
50.8475	18.2477
51	18.2637
51.2	18.267
51.3466	18.2559
51.5	18.2313
51.6133	18.2042
51.7319	18.1674
51.9092	18.0954
52.049	18.0237
52.175	17.9474
52.3683	17.809
52.5125	17.6917
52.6632	17.5594
52.7801	17.4518
52.9095	17.3293
53.0109	17.2321
53.1202	17.1271
53.2403	17.0129
53.3925	16.8721
53.5668	16.7198
53.6677	16.6378
53.7748	16.5568
53.8763	16.4867
53.9835	16.4208
54.1021	16.3576
54.2332	16.2998
54.3861	16.2478
54.4994	16.22
54.6034	16.2023
54.747	16.1901
54.8547	16.1901
54.9809	16.1998
55.0842	16.2135
55.1853	16.2284
55.3046	16.2436
55.4083	16.2509
55.5202	16.2483
55.6424	16.2284
55.751	16.1937
55.8549	16.147
55.97	16.0818
56.0878	16.0026
56.2184	15.9031
56.34	15.8019
56.4794	15.6794
56.6044	15.5667
56.7137	15.4682
56.87	15.3313
56.9919	15.231
57.11	15.1419
57.2304	15.0611
57.38	14.9756
57.5	14.919
57.6	14.8802
57.7	14.8491
57.8086	14.8242
57.91	14.8094
58.0132	14.8029
58.114	14.8048
58.216	14.8154
58.3529	14.8433
58.49	14.8873
58.6	14.9344
58.7	14.9863
58.81	15.0529
58.95	15.1504
59.0512	15.2285
59.1543	15.3138
59.36	15.4974
59.48	15.6106
59.58	15.7072
59.71	15.8342
59.85	15.971
59.95	16.0676
60.1808	16.2821
60.4357	16.4954
60.61	16.6205
60.79	16.7266
60.9	16.7779
61	16.8147
61.1	16.8411
61.2	16.857
61.39	16.8604
61.5	16.8475
61.6404	16.8165
61.9	16.7213
62.0177	16.6639
62.2	16.5604
62.3317	16.4762
62.5	16.3593
62.6	16.2858
62.7	16.21
63	15.9743
63.1778	15.8331
63.2832	15.7504
63.4015	15.6596
63.535	15.5606
63.66	15.4723
63.97	15.2791
64.17	15.1797
64.3	15.1281
64.4106	15.0926
64.5444	15.0594
64.7	15.0334
64.85	15.02
65	15.0173
65.1023	15.0211
65.2332	15.032
65.35	15.047
65.45	15.0634
65.6	15.0936
65.7555	15.1311
65.87	15.1621
66	15.2001
66.11	15.2342
66.2183	15.2692
66.38	15.3236
66.5	15.366
66.7	15.4411
66.9	15.5227
67.0073	15.5694
67.15	15.6352
67.26	15.6889
67.38	15.7507
67.5173	15.8258
67.66	15.9092
67.77	15.9774
68.04	16.1604
68.15	16.2417
68.26	16.3273
68.37	16.4172
68.5	16.5293
68.72	16.7343
68.96	16.981
69.08	17.1141
69.2	17.2538
69.45	17.5673
69.61	17.7842
69.82	18.085
69.96	18.2932
70.09	18.4906
70.23	18.706
70.38	18.9383
70.5	19.124
70.63	19.3239
70.75	19.5061
70.89	19.7146
71.03	19.9172
71.16	20.0988
71.3	20.2856
71.4	20.4129
71.6	20.6494
71.7	20.7586
71.94	20.9973
72.22	21.2364
72.41	21.3762
72.7	21.5576
72.83	21.6273
72.98	21.6994
73.09	21.747
73.23	21.8014
73.4	21.8587
73.53	21.8967
73.8	21.9607
74	21.9969
74.5	22.0548
74.61	22.0628
74.76	22.0717
74.92	22.0793
75.1	22.0863
75.37	22.0958
75.48	22.1
75.7	22.1101
75.88	22.1211
76	22.1303
76.26	22.1569
76.4	22.1758
76.8	22.2521
76.91	22.28
77.06	22.3233
78	22.7314
78.48	23.0162
78.65	23.1271
78.8	23.2288
78.99	23.3623
79.5	23.7428
79.87	24.0344
80.23	24.3261
80.45	24.5068
80.6	24.6304
80.77	24.7705
80.89	24.8693
81	24.9596
81.14	25.074
81.29	25.1957
81.4	25.2841
81.59	25.4352
81.74	25.5525
81.89	25.6678
82.11	25.8327
82.26	25.9419
82.55	26.1445
82.65	26.2115
82.77	26.2897
82.92	26.384
83.07	26.4741
83.3	26.6041
83.44	26.6785
83.6	26.7593
83.74	26.8262
83.96	26.9246
84.18	27.0148
84.4	27.0973
84.6	27.1657
84.7	27.1976
85.3	27.3584
85.5	27.4009
85.66	27.4312
86.08	27.4954
86.18	27.5076
86.5	27.5391
86.63	27.5487
87.07	27.5686
87.18	27.5707
87.3	27.5718
87.5	27.5707
87.89	27.5593
88.37	27.53
88.48	27.5212
88.74	27.4976
89	27.4703
89.2	27.4472
89.48	27.412
89.7	27.3824
89.9	27.3542
90.05	27.3324
90.1842	27.3124
90.3	27.2949
91	27.1859
91.24	27.1482
91.5	27.1077
92	27.0317
92.5526	26.9479
92.8	26.9094
93	26.8776
93.5	26.7936
93.63	26.7705
93.75	26.7486
94	26.7011
94.15	26.6713
94.26	26.6487
94.5	26.5973
94.64	26.5658
94.8	26.5283
95	26.4792
95.5	26.3439
95.7	26.2843
95.82	26.2469
95.96	26.2017
96.12	26.1479
96.24	26.1059
96.5	26.0101
96.63	25.9596
96.82	25.8826
96.94	25.8318
97.5	25.5728
97.67	25.4865
