Condrusia	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Condylites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Coniopteris	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cordaicarpon	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cordaites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cornus	  0	  1	  1	  1	  3	  3	  2	  2	  1	  3	  2	  0	  2	  3	  3	  3	  2	  2	  0	  2	  3	  3	  2	  2	  2	2	1	3
Corydalis	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	0	3
Corylopsis	  0	  0	  0	  0	  0	  2	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  2	  2	  0	  2	  2	  2	  2	  2	  2	2	0	2
Corylus	  1	  1	  1	  1	  1	  0	  1	  0	  0	  1	  1	  0	  0	  0	  0	  1	  2	  2	  3	  2	  0	  2	  3	  2	  2	2	3	3
Cranea	NaN	  1	  0	  0	  0	  1	  0	  0	  0	  0	  0	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Crassidenticulum	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Crassivitisemen	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Crataegus	NaN	NaN	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  1	  1	  3	  3	  2	  2	  1	  3	  3	  3	  3	  2	2	0	3
Cronquistiflora	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cruciptera	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cupania	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  0	  1	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	0	0	1
Cupressinocladus	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cyathea	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  1	  1	  1	  1	  0	  0	  0	  0	1	1	3
Cycadeoidea	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cycadeospermum	  2	  2	  2	  2	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cycadolepis	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cyclogranisporites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cyclopteris	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	1	0
Cyperacites	  1	  0	  0	  0	  0	  0	  1	  0	  0	  1	  1	  1	  1	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cyperites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Cyperus	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  2	  2	  0	  0	  0	  0	  2	  1	  1	2	0	3
Dacrycarpites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Dalbergia	NaN	NaN	NaN	NaN	  1	  1	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	0	0	3
Decodon	  0	  0	  0	  0	  2	  0	  0	  0	  2	  0	  3	  0	  0	  3	  2	  3	  2	  2	  0	  2	  2	  2	  2	  2	  2	2	0	1
Delosorus	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
