Taxon_name	Status	MinAge	MaxAge	Site
Deshayesites	extinct	113.2	121.4	1746
Roloboceras	extinct	113.2	121.4	1746
Megatyloceras	extinct	113.2	121.4	1746
Deshayesites	extinct	113.2	121.4	1747
Ancyloceras	extinct	113.2	121.4	1747
Aconeceras	extinct	113.2	121.4	1747
Roloboceras	extinct	113.2	121.4	1747
Deshayesites	extinct	113.2	121.4	1748
Sanmartinoceras	extinct	113.2	121.4	1748
Pseudosaynella	extinct	113.2	121.4	1748
Deshayesites	extinct	113.2	121.4	1750
Cheloniceras	extinct	113.2	121.4	1750
Toxoceratoides	extinct	113.2	121.4	1750
Cheloniceras	extinct	113.2	121.4	1752
Deshayesites	extinct	113.2	121.4	1752
Toxoceratoides	extinct	113.2	121.4	1749
Deshayesites	extinct	113.2	121.4	1749
Cheloniceras	extinct	113.2	121.4	1749
Aconeceras	extinct	113.2	121.4	1749
Deshayesites	extinct	113.2	121.4	1753
Australiceras	extinct	113.2	121.4	1753
Cheloniceras	extinct	113.2	121.4	1753
Australiceras	extinct	113.2	121.4	1754
Epancyloceras	extinct	113.2	121.4	1754
Tonohamites	extinct	113.2	121.4	1754
Cheloniceras	extinct	113.2	121.4	1754
Deshayesites	extinct	113.2	121.4	1754
Tropaeum	extinct	113.2	121.4	1756
Australiceras	extinct	113.2	121.4	1756
Tonohamites	extinct	113.2	121.4	1756
Cheloniceras	extinct	113.2	121.4	1756
Dufrenoyia	extinct	113.2	121.4	1756
Tropaeum	extinct	113.2	121.4	1757
Cheloniceras	extinct	113.2	121.4	1757
Dufrenoyia	extinct	113.2	121.4	1757
Tonohamites	extinct	113.2	121.4	1757
Dufrenoyia	extinct	113.2	121.4	1758
Cheloniceras	extinct	113.2	121.4	1758
Cheloniceras	extinct	113.2	121.4	1759
Epicheloniceras	extinct	113.2	121.4	1759
Tropaeum	extinct	113.2	121.4	1759
Ammonitoceras	extinct	113.2	121.4	1759
Epicheloniceras	extinct	113.2	121.4	1760
Ammonitoceras	extinct	113.2	121.4	1760
Australiceras	extinct	113.2	121.4	1760
Cheloniceras	extinct	113.2	121.4	1760
Aconeceras	extinct	113.2	121.4	1760
Cheloniceras	extinct	113.2	121.4	1762
Parahoplites	extinct	113.2	121.4	1763
Sonneratia	extinct	106.3	110.1	1765
Anadesmoceras	extinct	106.3	110.1	1765
Roberticeras	extinct	106.3	110.1	1765
Otohoplites	extinct	106.3	110.1	1765
Douvilleiceras	extinct	106.3	110.1	1765
Sonneratia	extinct	106.3	110.1	1766
Cleoniceras	extinct	106.3	110.1	1766
Prodeshayesites	extinct	113.2	121.4	1767
Deshayesites	extinct	113.2	121.4	1767
Roloboceras	extinct	113.2	121.4	1767
Dufrenoyia	extinct	113.2	121.4	1767
Prodeshayesites	extinct	113.2	121.4	1768
Deshayesites	extinct	113.2	121.4	1768
Tropaeum	extinct	113.2	121.4	1769
Cheloniceras	extinct	113.2	121.4	1769
Dufrenoyia	extinct	113.2	121.4	1769
Epicheloniceras	extinct	113.2	121.4	1769
Parahoplites	extinct	113.2	121.4	1769
Hypacanthoplites	extinct	113.2	121.4	1770
Sonneratia	extinct	100.5	113.2	1771
Otohoplites	extinct	100.5	113.2	1771
Protohoplites	extinct	100.5	113.2	1771
Deshayesites	extinct	113.2	121.4	1772
Deshayesites	extinct	113.2	121.4	1773
Roloboceras	extinct	113.2	121.4	1773
Deshayesites	extinct	113.2	121.4	1774
Roloboceras	extinct	113.2	121.4	1774
Toxoceratoides	extinct	113.2	121.4	1774
Australiceras	extinct	113.2	121.4	1775
Tropaeum	extinct	113.2	121.4	1775
Cheloniceras	extinct	113.2	121.4	1775
Dufrenoyia	extinct	113.2	121.4	1775
Cheloniceras	extinct	113.2	121.4	1776
Deshayesites	extinct	113.2	121.4	1776
Australiceras	extinct	113.2	121.4	1776
Lithancylus	extinct	113.2	121.4	1776
Tropaeum	extinct	113.2	121.4	1776
Dufrenoyia	extinct	113.2	121.4	1776
Nolaniceras	extinct	113.2	121.4	1777
Cheloniceras	extinct	113.2	121.4	1778
Parahoplites	extinct	113.2	121.4	1778
Cheloniceras	extinct	113.2	121.4	1779
Hypacanthoplites	extinct	113.2	121.4	1780
Hypacanthoplites	extinct	100.5	113.2	1781
Leymeriella	extinct	110.1	113.2	1782
Anadesmoceras	extinct	110.1	113.2	1782
Douvilleiceras	extinct	110.1	113.2	1782
Sonneratia	extinct	110.1	113.2	1783
Douvilleiceras	extinct	110.1	113.2	1783
Roberticeras	extinct	110.1	113.2	1783
Uhligella	extinct	110.1	113.2	1783
Parengonoceras	extinct	110.1	113.2	1783
Hypacanthoplites	extinct	110.1	113.2	1783
Otohoplites	extinct	110.1	113.2	1783
