time	diversity	m_div	M_div
23.485995926252375	13.0	13	13
23.586363430210717	13.0	13	13
23.686730934169063	12.0	12	12
23.787098438127405	12.0	12	12
23.88746594208575	11.0	11	11
23.987833446044093	10.0	10	10
24.088200950002438	10.0	10	10
24.18856845396078	10.0	10	10
24.288935957919122	10.0	10	10
24.389303461877468	10.0	10	10
24.48967096583581	9.0	9	9
24.590038469794155	9.0	9	9
24.690405973752497	6.0	6	6
24.79077347771084	6.0	6	6
24.891140981669185	6.0	6	6
24.991508485627527	5.0	5	5
25.091875989585873	5.0	5	5
25.192243493544215	5.0	5	5
25.292610997502557	4.0	4	4
25.392978501460902	4.0	4	4
25.493346005419244	4.0	4	4
25.59371350937759	4.0	4	4
25.694081013335932	4.0	4	4
25.794448517294274	4.0	4	4
25.89481602125262	4.0	4	4
25.99518352521096	4.0	4	4
26.095551029169307	4.0	4	4
26.19591853312765	4.0	4	4
26.29628603708599	4.0	4	4
26.396653541044337	4.0	4	4
26.49702104500268	4.0	4	4
26.597388548961025	4.0	4	4
26.697756052919367	4.0	4	4
26.79812355687771	4.0	4	4
26.898491060836054	4.0	4	4
26.998858564794396	4.0	4	4
27.099226068752742	4.0	4	4
27.199593572711084	4.0	4	4
27.299961076669426	4.0	4	4
27.40032858062777	4.0	4	4
27.500696084586114	4.0	4	4
27.60106358854446	4.0	4	4
27.7014310925028	4.0	4	4
27.801798596461147	4.0	4	4
27.90216610041949	4.0	4	4
28.00253360437783	4.0	4	4
28.102901108336177	4.0	4	4
28.20326861229452	4.0	4	4
28.303636116252864	4.0	4	4
28.404003620211206	4.0	4	4
28.50437112416955	4.0	4	4
28.604738628127894	4.0	4	4
28.705106132086236	4.0	4	4
28.80547363604458	4.0	4	4
28.905841140002924	3.0	3	3
29.006208643961266	3.0	3	3
29.10657614791961	3.0	3	3
29.206943651877953	3.0	3	3
29.3073111558363	3.0	3	3
29.40767865979464	3.0	3	3
29.508046163752983	3.0	3	3
29.60841366771133	3.0	3	3
29.70878117166967	3.0	3	3
29.809148675628016	3.0	3	3
29.909516179586358	3.0	3	3
30.0098836835447	3.0	3	3
30.110251187503046	3.0	3	3
30.210618691461388	3.0	3	3
30.310986195419733	3.0	3	3
30.411353699378076	4.0	4	4
30.51172120333642	4.0	4	4
30.612088707294763	4.0	4	4
30.712456211253105	4.0	4	4
30.81282371521145	4.0	4	4
30.913191219169793	4.0	4	4
31.01355872312814	4.0	4	4
31.11392622708648	4.0	4	4
31.214293731044823	5.0	5	5
31.314661235003168	5.0	5	5
31.41502873896151	5.0	5	5
31.515396242919856	4.0	4	4
31.615763746878198	4.0	4	4
31.71613125083654	4.0	4	4
31.816498754794885	4.0	4	4
31.916866258753227	4.0	4	4
32.01723376271157	3.0	3	3
32.117601266669915	4.0	4	4
32.21796877062826	4.0	4	4
32.3183362745866	4.0	4	4
32.418703778544945	4.0	4	4
32.51907128250329	4.0	4	4
32.619438786461636	4.0	4	4
32.719806290419974	4.0	4	4
32.82017379437832	4.0	4	4
32.920541298336666	4.0	4	4
33.020908802295004	4.0	4	4
33.12127630625335	4.0	4	4
33.221643810211695	5.0	5	5
33.322011314170034	5.0	5	5
33.42237881812838	4.0	4	4
33.522746322086725	4.0	4	4
33.62311382604507	4.0	4	4
33.72348133000341	4.0	4	4
33.823848833961755	5.0	5	5
33.9242163379201	5.0	5	5
34.02458384187844	5.0	5	5
34.124951345836784	4.0	4	4
34.22531884979513	4.0	4	4
34.32568635375347	3.0	3	3
34.426053857711814	3.0	3	3
34.52642136167016	3.0	3	3
34.626788865628505	3.0	3	3
34.727156369586844	3.0	3	3
34.82752387354519	4.0	4	4
34.927891377503535	4.0	4	4
35.02825888146187	4.0	4	4
35.12862638542022	3.0	3	3
35.228993889378565	4.0	4	4
35.32936139333691	5.0	5	5
35.42972889729525	5.0	5	5
35.530096401253594	5.0	5	5
35.63046390521194	5.0	5	5
35.73083140917028	5.0	5	5
35.831198913128624	4.0	4	4
35.93156641708697	3.0	3	3
36.03193392104531	4.0	4	4
36.132301425003654	4.0	4	4
36.232668928962	4.0	4	4
36.333036432920345	5.0	5	5
36.43340393687868	5.0	5	5
36.53377144083703	5.0	5	5
36.634138944795374	5.0	5	5
36.73450644875371	5.0	5	5
36.83487395271206	4.0	4	4
36.935241456670404	4.0	4	4
37.03560896062874	4.0	4	4
37.13597646458709	4.0	4	4
37.236343968545434	4.0	4	4
37.33671147250378	3.0	3	3
37.43707897646212	3.0	3	3
37.53744648042046	2.0	2	2
37.63781398437881	2.0	2	2
37.73818148833715	2.0	2	2
37.83854899229549	2.0	2	2
37.93891649625384	2.0	2	2
38.03928400021218	1.0	1	1
38.13965150417052	1.0	1	1
38.24001900812887	0.0	0	0
38.340386512087214	0.0	0	0
38.44075401604555	0.0	0	0
38.5411215200039	0.0	0	0
38.641489023962244	0.0	0	0
38.74185652792058	0.0	0	0
38.84222403187893	0.0	0	0
38.94259153583727	0.0	0	0
39.04295903979562	0.0	0	0
39.14332654375396	0.0	0	0
39.2436940477123	0.0	0	0
39.34406155167065	0.0	0	0
39.44442905562899	0.0	0	0
39.54479655958733	0.0	0	0
39.64516406354568	0.0	0	0
39.74553156750402	0.0	0	0
39.84589907146236	0.0	0	0
39.94626657542071	0.0	0	0
40.046634079379054	0.0	0	0
40.14700158333739	0.0	0	0
40.24736908729574	0.0	0	0
40.34773659125408	1.0	1	1
40.44810409521242	1.0	1	1
40.54847159917077	1.0	1	1
40.64883910312911	1.0	1	1
40.74920660708745	1.0	1	1
40.8495741110458	1.0	1	1
40.94994161500414	1.0	1	1
41.05030911896249	1.0	1	1
41.15067662292083	1.0	1	1
41.25104412687917	1.0	1	1
41.35141163083752	1.0	1	1
41.451779134795856	1.0	1	1
41.5521466387542	1.0	1	1
41.65251414271255	1.0	1	1
41.752881646670886	1.0	1	1
41.85324915062923	1.0	1	1
41.95361665458758	1.0	1	1
42.05398415854592	1.0	1	1
42.15435166250426	1.0	1	1
42.25471916646261	1.0	1	1
42.35508667042095	1.0	1	1
42.45545417437929	1.0	1	1
42.55582167833764	1.0	1	1
42.65618918229598	1.0	1	1
42.75655668625433	1.0	1	1
42.856924190212666	1.0	1	1
42.95729169417101	1.0	1	1
43.05765919812936	1.0	1	1
43.158026702087696	1.0	1	1
43.25839420604604	1.0	1	1
43.35876171000439	1.0	1	1
43.459129213962726	1.0	1	1
43.55949671792107	1.0	1	1
43.65986422187942	1.0	1	1
43.76023172583776	1.0	1	1
43.8605992297961	1.0	1	1
43.96096673375445	1.0	1	1
44.06133423771279	1.0	1	1
44.16170174167113	1.0	1	1
44.262069245629476	1.0	1	1
44.36243674958782	1.0	1	1
44.46280425354616	1.0	1	1
44.563171757504506	1.0	1	1
44.66353926146285	1.0	1	1
44.7639067654212	1.0	1	1
44.864274269379536	1.0	1	1
44.96464177333788	1.0	1	1
45.06500927729623	1.0	1	1
45.165376781254565	1.0	1	1
45.26574428521291	1.0	1	1
45.366111789171256	1.0	1	1
45.4664792931296	1.0	1	1
45.56684679708794	1.0	1	1
45.667214301046286	1.0	1	1
45.76758180500463	1.0	1	1
45.86794930896297	1.0	1	1
45.968316812921316	1.0	1	1
46.06868431687966	1.0	1	1
46.169051820838	1.0	1	1
46.269419324796345	1.0	1	1
46.36978682875469	1.0	1	1
46.47015433271304	1.0	1	1
46.570521836671375	1.0	1	1
46.67088934062972	1.0	1	1
46.771256844588066	1.0	1	1
46.871624348546405	1.0	1	1
46.97199185250475	1.0	1	1
47.072359356463096	1.0	1	1
47.172726860421434	1.0	1	1
47.27309436437978	1.0	1	1
