scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	BodyMass	Eurasia	NAmerica
Paratomarctus	0	1	0	0	0	0	0	0	0.61287413367574	0	1
Parenhydrocyon	0	1	0	0	0	0	0	0	0.38805446051533	0	1
Pekania	0	0	0	0	0	1	0	0	-0.5962585981332	0	1
Percrocuta	0	0	0	1	0	0	0	0	0.750490531209022	1	0
Perunium	0	0	0	0	0	1	0	0	-0.671419159941404	1	0
Phlaocyon	0	1	0	0	0	0	0	0	-0.399652537053571	0	1
Phoberocyon	0	0	0	0	0	0	1	0	1.48649186018	1	1
Phoberogale	0	0	0	0	0	0	1	0	0.143664753037797	1	0
Plesictis	0	0	0	0	0	1	0	0	-0.867870948466008	1	0
Plesiogale	0	0	0	0	0	1	0	0	-1.2137353397659	1	0
Plesiogulo	0	0	0	0	0	1	0	0	0.624336270198222	1	1
Pliocrocuta	0	0	0	0	1	0	0	0	0.807610146531215	1	0
Pliocyon	1	0	0	0	0	0	0	0	1.78131379357713	0	1
Pliogale	0	0	0	0	0	1	0	0	-1.42411582013909	0	1
Plionarctos	0	0	0	0	0	0	1	0	1.49321347833928	1	1
Plionictis	0	0	0	0	0	1	0	0	-1.34975009363861	0	1
Pliotaxidea	0	0	0	0	0	1	0	0	-1.02073301053597	0	1
Plioviverrops	0	0	0	0	1	0	0	0	-0.249316583366206	1	0
Plithocyon	0	0	0	0	0	0	1	0	1.0635123675983	1	1
Pogonodon	0	0	0	1	0	0	0	0	0.951391307525753	1	0
Polgardia	0	0	0	0	0	1	0	0	-1.06612628740435	1	0
Potamotherium	0	0	0	0	0	1	0	0	-0.31220915455303	1	0
Potos	0	0	0	0	0	1	0	0	-0.776805123304431	0	1
Prionailurus	0	0	1	0	0	0	0	0	-0.466485731428572	1	0
Prionodon	0	0	0	0	0	0	0	1	-1.73907605208657	1	0
Pristifelis	0	0	1	0	0	0	0	0	0.333185187321285	1	0
Pristinailurus	0	0	0	0	0	1	0	0	-0.743564479835942	0	1
Proailurus	0	0	1	0	0	0	0	0	0.0574779397208379	1	0
Probassariscus	0	0	0	0	0	1	0	0	-0.415088199839152	0	1
Procyon	0	0	0	0	0	1	0	0	-0.382486819403835	0	1
Progenetta	0	0	0	0	0	0	0	1	-0.872453789081542	1	0
Promartes	0	0	0	0	0	1	0	0	-0.320270585533916	0	1
Promegantereon	0	0	1	0	0	0	0	0	0.0937400908059442	1	0
Promeles	0	0	0	0	0	1	0	0	-0.669473205303069	1	0
Promephitis	0	0	0	0	0	1	0	0	-0.980729832533495	1	0
Proputorius	0	0	0	0	0	1	0	0	-1.21056353478965	1	0
Prosansanosmilus	0	0	0	1	0	0	0	0	0.276704715581615	1	0
Protarctos	0	0	0	0	0	1	0	0	-1.50790030977382	1	0
Protepicyon	0	1	0	0	0	0	0	0	0.698049783262473	0	1
Protictitherium	0	0	0	0	1	0	0	0	-0.345764685125889	1	0
Protocyon	0	1	0	0	0	0	0	0	0.258037840566622	0	1
Protomarctus	0	1	0	0	0	0	0	0	-0.207918358874046	0	1
