scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	LogBodyMass	Eurasia	NAmerica
Nyctereutes	0	1	0	0	0	0	0	0	-0.227649210494379	1	0
Oligobunis	0	0	0	0	0	1	0	0	-0.473409987070309	1	1
Osbornodon	0	1	0	0	0	0	0	0	0.324689916745857	0	1
Osmotherium	0	0	0	0	0	1	0	0	-1.47096245977	0	1
Pachycrocuta	0	0	0	0	1	0	0	0	1.6600640256049	1	0
Paguma	0	0	0	0	0	0	0	1	-0.551316921617355	1	0
Palaeogale	0	0	0	1	0	0	0	0	-0.899218629387647	1	1
Palinhyaena	0	0	0	0	1	0	0	0	0.389323170748288	1	0
Paludolutra	0	0	0	0	0	1	0	0	0.0598757374052293	1	0
Pannonictis	0	0	0	0	0	1	0	0	-0.936597218051743	1	0
Panthera	0	0	1	0	0	0	0	0	1.34674447605009	1	1
Parabrachypsalis	0	0	0	0	0	1	0	0	-0.268726518152606	0	1
Paracynarctus	0	1	0	0	0	0	0	0	0.26305735372091	0	1
Paradaphoenus	1	0	0	0	0	0	0	0	-0.466131695064604	0	1
Paradoxurus	0	0	0	0	0	0	0	1	-0.81420238070072	1	0
Paraenhydrocyon	0	1	0	0	0	0	0	0	0.527064093065824	0	1
Paragale	0	0	0	0	0	1	0	0	-0.97239505485845	1	0
Parahyaena	0	0	0	0	1	0	0	0	0.52754603826807	1	0
Parailurus	0	0	0	0	0	1	0	0	-0.414824100546936	1	1
Paralutra	0	0	0	0	0	1	0	0	-0.10627571703228	1	0
Paramachaerodus	0	0	1	0	0	0	0	0	1.26886005160329	1	1
Paramartes	0	0	0	0	0	1	0	0	-0.805315229363608	1	0
Parameles	0	0	0	0	0	1	0	0	0.206926603195829	1	0
Paranasua	0	0	0	0	0	1	0	0	-0.0235143011734952	0	1
Paraoligobunus	0	0	0	0	0	1	0	0	-0.876024124413507	0	1
Parapotos	0	0	0	0	0	1	0	0	-0.159027011086821	0	1
Parataxidea	0	0	0	0	0	1	0	0	-0.891287578130622	1	1
Paratomarctus	0	1	0	0	0	0	0	0	0.62491360298612	0	1
Parenhydrocyon	0	1	0	0	0	0	0	0	0.399493457386779	0	1
Pekania	0	0	0	0	0	1	0	0	-0.58744860990094	0	1
Percrocuta	0	0	0	1	0	0	0	0	0.762897561118979	1	0
Perunium	0	0	0	0	0	1	0	0	-0.662809918579851	1	0
Phlaocyon	0	1	0	0	0	0	0	0	-0.390317432316401	0	1
