scientificName	earliestAge	latestAge	higherGeography	site
Canis	0.115	0.01	Eurasia	now_27496
Canis	1.80951	1.1531666666667	Eurasia	now_24136
Canis	3.55	2.725	Eurasia	now_20733
Canis	3.55	2.725	Eurasia	now_20733
Canis	1.9	0.0117	Eurasia	now_27969
Canis	1.29585	0.58243333333333	Eurasia	now_24084
Vulpes	1.9	0.0117	Eurasia	now_24302
Canis	1.9	0.0117	Eurasia	now_24302
Vulpes	1.9	0.0117	Eurasia	now_24302
Vulpes	1.29585	0.58243333333333	Eurasia	now_24100
Aelurodon	12.57	10.09	NAmerica	now_10565
Epicyon	9.07	7.59	NAmerica	now_10566
Leptocyon	10.09	9.07	NAmerica	now_10567
Epicyon	10.09	9.07	NAmerica	now_10567
Epicyon	10.09	9.07	NAmerica	now_10567
Epicyon	9.07	7.59	NAmerica	now_10568
Epicyon	9.07	7.59	NAmerica	now_10568
Borophagus	9.07	7.59	NAmerica	now_10568
Borophagus	9.07	6.88	NAmerica	now_10570
Epicyon	7.59	6.88	NAmerica	now_10571
Vulpes	7.59	6.88	NAmerica	now_10572
Borophagus	7.59	6.88	NAmerica	now_10572
Borophagus	7.59	6.88	NAmerica	now_10572
Borophagus	7.59	6.88	NAmerica	now_10574
Vulpes	5.91	4.91	NAmerica	now_10575
Eucyon	5.91	4.91	NAmerica	now_10575
Carpocyon	5.91	4.91	NAmerica	now_10575
Epicyon	5.91	4.91	NAmerica	now_10575
Borophagus	5.91	4.91	NAmerica	now_10575
Borophagus	5.91	4.91	NAmerica	now_10575
Borophagus	5.91	4.91	NAmerica	now_10575
Canis	2.63	1.8	NAmerica	now_10576
Borophagus	2.63	1.8	NAmerica	now_10576
Canis	2.63	1.8	NAmerica	now_10577
Canis	2.63	1.8	NAmerica	now_10582
Urocyon	2.63	1.8	NAmerica	now_10583
Theriodictis	2.63	1.8	NAmerica	now_10583
Canis	1.8	0.9	NAmerica	now_10585
Canis	1.8	0.9	NAmerica	now_10585
Canis	0.9	0.39	NAmerica	now_10586
Canis	0.9	0.39	NAmerica	now_10586
Urocyon	0.9	0.39	NAmerica	now_10586
Theriodictis	2.63	1.8	NAmerica	now_10588
Urocyon	1.8	0.9	NAmerica	now_10592
Borophagus	1.8	0.9	NAmerica	now_10594
Epicyon	7.59	6.88	NAmerica	now_10611
Epicyon	7.59	6.88	NAmerica	now_10611
Phlaocyon	18.5	17.34	NAmerica	now_10529
Osbornodon	18.5	17.34	NAmerica	now_10530
Cynarctoides	18.5	17.34	NAmerica	now_10530
Paratomarctus	15.97	14.78	NAmerica	now_10533
Paratomarctus	15.97	14.78	NAmerica	now_10534
Tomarctus	14.78	12.57	NAmerica	now_10537
Microtomarctus	14.78	12.57	NAmerica	now_10537
Aelurodon	14.78	12.57	NAmerica	now_10537
Aelurodon	14.78	12.57	NAmerica	now_10537
Leptocyon	12.11	10.09	NAmerica	now_10540
Aelurodon	12.11	10.09	NAmerica	now_10540
Leptocyon	12.11	10.09	NAmerica	now_10541
Aelurodon	12.11	10.09	NAmerica	now_10541
