scientificName	earliestAge	latestAge	higherGeography
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	1.8	0.3	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	2.588	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.781	0.126	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	2.588	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0	NAmerica
Arctodus	2.588	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	2.588	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	1.806	0.781	NAmerica
Arctodus	0.126	0.0117	NAmerica
Arctodus	2.588	0.0117	NAmerica
Arctomeles	5.333	3.6	NAmerica
Arctomeles	4.2	3.2	Eurasia
Arctomeles	4.2	2.588	Eurasia
Arctonasua	15.97	13.6	NAmerica
Arctonasua	15.97	13.6	NAmerica
Arctonasua	15.97	13.6	NAmerica
Arctonasua	13.6	10.3	NAmerica
Arctonasua	15.97	13.6	NAmerica
Arctonasua	15.97	13.6	NAmerica
Arctonasua	13.6	10.3	NAmerica
Arctonasua	15.97	13.6	NAmerica
Arctonyx	0.781	0.0117	Eurasia
Arctonyx	0.126	0.0117	Eurasia
Arctonyx	2.588	0.781	Eurasia
Arctonyx	0.781	0.0117	Eurasia
Arctonyx	0.781	0.126	Eurasia
Arctonyx	0.781	0.126	Eurasia
Arctonyx	0.126	0.0117	Eurasia
Arctonyx	0.781	0.126	Eurasia
Arctotherium	4.9	1.8	NAmerica
Arctotherium	0.126	0.0117	NAmerica
Arikarictis	24.8	20.43	NAmerica
Asiavorator	37.2	33.9	Eurasia
Baranogale	4.9	4.2	Eurasia
Baranogale	3.2	2.588	Eurasia
Baranogale	5.333	2.588	Eurasia
Baranogale	3.2	2.588	Eurasia
Baranogale	8.7	5.333	Eurasia
Baranogale	4.2	3.2	Eurasia
Baranogale	3.2	2.588	Eurasia
Baranogale	3.2	2.588	Eurasia
Baranogale	2.588	1.806	Eurasia
Baranogale	3.2	2.588	Eurasia
Baranogale	7.246	5.333	Eurasia
Barbourofelis	13.6	10.3	NAmerica
Barbourofelis	13.6	10.3	NAmerica
Barbourofelis	13.6	10.3	NAmerica
Barbourofelis	13.6	10.3	NAmerica
Barbourofelis	13.6	10.3	NAmerica
Barbourofelis	13.6	10.3	NAmerica
Barbourofelis	13.6	10.3	NAmerica
Barbourofelis	13.6	10.3	NAmerica
Barbourofelis	13.6	10.3	NAmerica
Barbourofelis	13.6	10.3	NAmerica
Bassaricyon	0.0117	0	NAmerica
Bassaricyonoides	20.43	15.97	NAmerica
Bassaricyonoides	20.43	15.97	NAmerica
Bassaricyonoides	20.43	15.97	NAmerica
Bassariscus	20.43	15.97	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	13.6	10.3	NAmerica
Bassariscus	13.6	10.3	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	4.9	1.8	NAmerica
Bassariscus	1.8	0.012	NAmerica
Bassariscus	0.126	0.0117	NAmerica
Bassariscus	1.8	0.3	NAmerica
Bassariscus	0.0117	0	NAmerica
Bassariscus	0.126	0.0117	NAmerica
Bassariscus	0.126	0.0117	NAmerica
Bassariscus	0.0117	0	NAmerica
Bassariscus	0.126	0.0117	NAmerica
Bassariscus	0.126	0.0117	NAmerica
Bassariscus	0.126	0	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	15.97	13.6	NAmerica
Bassariscus	0.126	0.0117	NAmerica
Bassariscus	20.43	15.97	NAmerica
