Genus	Status	Min_Age	Max_Age
Oceanodroma	Extant	0.0117	2.588
Oceanodroma	Extant	0.0117	0.126
Oceanodroma	Extant	0.0117	0.126
Oceanodroma	Extant	0.0117	0.126
Oceanodroma	Extant	0	0.0117
Oceanodroma	Extant	0	0.0117
Oceanodroma	Extant	0	0.0117
Oceanodroma	Extant	0	0.0117
Pachyptila	Extant	3.6	5.333
Pachyptila	Extant	3.6	5.333
Pachyptila	Extant	3.6	5.333
Pachyptila	Extant	3.9	4.9
Pachyptila	Extant	3.6	5.333
Pachyptila	Extant	3.6	5.333
Pachyptila	Extant	3.6	5.333
Pachyptila	Extant	3.6	5.333
Pachyptila	Extant	0.0117	0.126
Pachyptila	Extant	0.0117	0.126
Pachyptila	Extant	0.0117	0.126
Pachyptila	Extant	0.0117	0.126
Pagophila	Extant	0	0.0117
Palaeeudyptes	Extant	47.8	56
Palaeeudyptes	Extant	41.3	56
Palaeeudyptes	Extant	47.8	56
Palaeeudyptes	Extant	33.9	48.6
Palaeeudyptes	Extant	38	47.8
Palaeeudyptes	Extant	38	47.8
Palaeeudyptes	Extant	38	41.3
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	38
Palaeeudyptes	Extant	33.9	37.2
Palaeeudyptes	Extant	36	37.2
Palaeeudyptes	Extant	36	37.2
Palaeeudyptes	Extant	36	37.2
Palaeeudyptes	Extant	27.3	34.3
Palaeeudyptes	Extant	27.3	34.3
Palaeeudyptes	Extant	15.97	28.4
Palaeeudyptes	Extant	15.97	28.4
Palaeeudyptes	Extant	15.97	28.4
Palaeeudyptes	Extant	25.2	27.3
Palaeeudyptes	Extant	21.7	25.2
Palaeeudyptes	Extant	21.7	25.2
Papasula	Extant	0	0.0117
Papasula	Extant	0	0.0117
Pelecanoides	Extant	15.9	19
Pelecanoides	Extant	3.6	5.333
Pelecanoides	Extant	0.0117	0.126
Pelecanoides	Extant	0.0117	0.126
Pelecanoides	Extant	0.0117	0.126
Pelecanoides	Extant	0.0117	0.126
Pelecanus	Extant	11.608	28.4
Pelecanus	Extant	2.588	11.62
Pelecanus	Extant	3.6	5.333
Pelecanus	Extant	3.9	4.9
Pelecanus	Extant	3.6	5.333
Pelecanus	Extant	2.588	3.6
Pelecanus	Extant	2.588	3.6
Pelecanus	Extant	0	2.588
Pelecanus	Extant	0.781	2.588
Pelecanus	Extant	0.0117	2.588
Pelecanus	Extant	0.3	1.8
Pelecanus	Extant	0.012	0.3
Pelecanus	Extant	0.0117	0.126
Pelecanus	Extant	0.0117	0.126
Pelecanus	Extant	0.0117	0.126
Pelecanus	Extant	0.0117	0.126
Pelecanus	Extant	0.0117	0.126
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Pelecanus	Extant	0	0.0117
Phaethon	Extant	0	0.0117
Phaethon	Extant	0	0.0117
Phalacrocorax	Extant	23.03	33.9
Phalacrocorax	Extant	23.03	33.9
Phalacrocorax	Extant	20.44	23.03
Phalacrocorax	Extant	20.44	23.03
Phalacrocorax	Extant	15.97	20.44
Phalacrocorax	Extant	13.65	15.97
Phalacrocorax	Extant	13.6	15.97
Phalacrocorax	Extant	13.6	15.97
Phalacrocorax	Extant	13.6	15.97
Phalacrocorax	Extant	13.82	15.97
Phalacrocorax	Extant	12.7	13.65
Phalacrocorax	Extant	7.246	11.62
Phalacrocorax	Extant	2.588	11.608
Phalacrocorax	Extant	5.333	11.608
Phalacrocorax	Extant	3.6	11.608
Phalacrocorax	Extant	5.333	11.608
Phalacrocorax	Extant	4.9	10.3
Phalacrocorax	Extant	4.9	10.3
Phalacrocorax	Extant	4.9	10.3
Phalacrocorax	Extant	1.8	10.3
Phalacrocorax	Extant	5.333	7.246
Phalacrocorax	Extant	0.0117	5.333
Phalacrocorax	Extant	3.9	4.9
Phalacrocorax	Extant	3.9	4.9
Phalacrocorax	Extant	2.588	5.333
Phalacrocorax	Extant	3.6	5.333
Phalacrocorax	Extant	3.6	5.333
Phalacrocorax	Extant	2.588	5.333
Phalacrocorax	Extant	2.588	5.333
Phalacrocorax	Extant	2.588	5.333
Phalacrocorax	Extant	3.6	5.333
Phalacrocorax	Extant	1.8	4.9
Phalacrocorax	Extant	1.8	4.9
Phalacrocorax	Extant	1.8	4.9
Phalacrocorax	Extant	1.8	4.9
Phalacrocorax	Extant	1.8	4.9
Phalacrocorax	Extant	1.8	4.9
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	2.588	3.6
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0	2.588
Phalacrocorax	Extant	0	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	1.806	2.588
Phalacrocorax	Extant	0.781	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.0117	2.588
Phalacrocorax	Extant	0.781	1.806
Phalacrocorax	Extant	0.3	1.8
Phalacrocorax	Extant	0.3	1.8
Phalacrocorax	Extant	0.3	1.8
Phalacrocorax	Extant	0.3	1.8
Phalacrocorax	Extant	0.126	0.781
Phalacrocorax	Extant	0.012	0.781
Phalacrocorax	Extant	0.126	0.781
Phalacrocorax	Extant	0.012	0.3
Phalacrocorax	Extant	0.012	0.3
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0.0117	0.126
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0.00094	0.00902
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0.0028	0.0034
Phalacrocorax	Extant	0	0.0117
Phalacrocorax	Extant	0	0.0117
Procellaria	Extant	3.9	4.9
Procellaria	Extant	3.9	4.9
Procellaria	Extant	3.6	5.333
Pterodroma	Extant	3.9	4.9
Pterodroma	Extant	0.0117	2.588
Pterodroma	Extant	0.0117	2.588
Pterodroma	Extant	0.0117	2.588
Pterodroma	Extant	0.0117	2.588
Pterodroma	Extant	0.0117	0.126
Pterodroma	Extant	0.119	0.119
Pterodroma	Extant	0.119	0.119
Pterodroma	Extant	0.0117	0.126
Pterodroma	Extant	0	0.0117
Pterodroma	Extant	0	0.0117
Pterodroma	Extant	0	0.0117
Pterodroma	Extant	0	0.0117
Pterodroma	Extant	0	0.0117
Pterodroma	Extant	0	0.0117
Pterodroma	Extant	0	0.0117
Pterodroma	Extant	0	0.0117
Ptychoramphus	Extant	1.8	4.9
Ptychoramphus	Extant	1.8	4.9
Ptychoramphus	Extant	1.8	4.9
Ptychoramphus	Extant	2.588	3.6
Ptychoramphus	Extant	0.0117	2.588
Ptychoramphus	Extant	0.0117	2.588
Ptychoramphus	Extant	0.0117	2.588
Ptychoramphus	Extant	0.0117	2.588
Ptychoramphus	Extant	0.0117	2.588
Ptychoramphus	Extant	0.012	0.3
Ptychoramphus	Extant	0.0117	0.126
Ptychoramphus	Extant	0.0117	0.126
Ptychoramphus	Extant	0.0117	0.126
Ptychoramphus	Extant	0.0117	0.126
Ptychoramphus	Extant	0.0117	0.126
Ptychoramphus	Extant	0.0117	0.126
Ptychoramphus	Extant	0.0117	0.126
Ptychoramphus	Extant	0.0117	0.126
Ptychoramphus	Extant	0.0117	0.126
Ptychoramphus	Extant	0	0.0117
Ptychoramphus	Extant	0	0.0117
Puffinus	Extant	5.333	23.03
Puffinus	Extant	5.333	23.03
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	13.82	15.97
Puffinus	Extant	11.62	13.82
Puffinus	Extant	11.62	13.82
Puffinus	Extant	11.62	13.82
Puffinus	Extant	7.3	7.6
Puffinus	Extant	7.246	11.62
Puffinus	Extant	5.333	11.608
Puffinus	Extant	5.333	11.608
Puffinus	Extant	5.333	11.608
Puffinus	Extant	3.6	7.246
Puffinus	Extant	5.333	7.246
Puffinus	Extant	5.333	7.246
Puffinus	Extant	3.6	5.333
Puffinus	Extant	3.9	4.9
Puffinus	Extant	3.9	4.9
Puffinus	Extant	3.9	4.9
Puffinus	Extant	3.9	4.9
Puffinus	Extant	3.9	4.9
Puffinus	Extant	3.9	4.9
Puffinus	Extant	3.9	4.9
Puffinus	Extant	3.9	4.9
Puffinus	Extant	3.9	4.9
Puffinus	Extant	3.6	5.333
Puffinus	Extant	2.588	5.333
Puffinus	Extant	3.6	5.333
Puffinus	Extant	3.6	5.333
Puffinus	Extant	2.588	5.333
Puffinus	Extant	3.6	5.333
Puffinus	Extant	3.6	5.333
Puffinus	Extant	1.8	4.9
Puffinus	Extant	1.8	4.9
Puffinus	Extant	1.8	4.9
Puffinus	Extant	1.8	4.9
Puffinus	Extant	1.8	4.9
Puffinus	Extant	1.8	4.9
Puffinus	Extant	1.8	4.9
Puffinus	Extant	1.8	4.9
Puffinus	Extant	1.8	4.9
Puffinus	Extant	1.8	4.9
Puffinus	Extant	2.588	3.6
Puffinus	Extant	3	3.6
Puffinus	Extant	2.588	3.6
Puffinus	Extant	2.588	3.6
Puffinus	Extant	2.588	3.6
Puffinus	Extant	3.11	3.22
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0.0117	2.588
Puffinus	Extant	0	2.588
Puffinus	Extant	0.012	0.3
Puffinus	Extant	0.012	0.3
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0.0117	0.126
Puffinus	Extant	0	0.0117
Puffinus	Extant	0	0.0117
Puffinus	Extant	0	0.0117
Puffinus	Extant	0.00256	0.0043
Puffinus	Extant	0.000845	0.001915
Puffinus	Extant	0	0.0117
Puffinus	Extant	0	0.0117
Puffinus	Extant	0	0.0117
Puffinus	Extant	0	0.0117
Puffinus	Extant	0	0.0117
Puffinus	Extant	0	0.0117
Pygoscelis	Extant	11.608	15.97
Pygoscelis	Extant	3.6	5.333
Pygoscelis	Extant	1.63	2.4
Pygoscelis	Extant	0	0.0117
Pygoscelis	Extant	0	0.0117
Pygoscelis	Extant	0	0.0117
Pygoscelis	Extant	0	0.0117
Pygoscelis	Extant	0	0.0117
Pygoscelis	Extant	0	0.0117
Rissa	Extant	1.8	4.9
Rissa	Extant	1.8	4.9
Rissa	Extant	0.0117	2.588
Rissa	Extant	0.0117	2.588
Rissa	Extant	0.0117	0.126
Rissa	Extant	0	0.0117
Rissa	Extant	0	0.0117
Spheniscus	Extant	2.588	23.03
Spheniscus	Extant	11.608	15.97
Spheniscus	Extant	11.608	15.97
Spheniscus	Extant	11.62	13.82
Spheniscus	Extant	7.3	7.5
Spheniscus	Extant	10.2	10.2
Spheniscus	Extant	7.246	11.62
Spheniscus	Extant	5.47	6.35
Spheniscus	Extant	5.47	6.35
Spheniscus	Extant	5.47	6.35
Spheniscus	Extant	5.333	7.246
Spheniscus	Extant	5.333	7.246
Spheniscus	Extant	2.588	5.333
Spheniscus	Extant	2.588	3.6
Spheniscus	Extant	2.588	3.6
Spheniscus	Extant	0.126	0.781
Spheniscus	Extant	0.0117	0.126
Spheniscus	Extant	0	0.0117
Spheniscus	Extant	0	0.0117
Spheniscus	Extant	0	0.0117
Stercorarius	Extant	3.9	4.9
Stercorarius	Extant	3.9	4.9
Stercorarius	Extant	3.9	4.9
Stercorarius	Extant	2.588	3.6
Stercorarius	Extant	0.0117	2.588
Stercorarius	Extant	0.012	0.3
Stercorarius	Extant	0.0117	0.126
Stercorarius	Extant	0	0.0117
Sterna	Extant	3.9	4.9
Sterna	Extant	3.9	4.9
Sterna	Extant	1.8	4.9
Sterna	Extant	0.0117	2.588
Sterna	Extant	0.0117	2.588
Sterna	Extant	0.0117	2.588
Sterna	Extant	0.0117	2.588
Sterna	Extant	0.0117	0.126
Sterna	Extant	0.0117	0.126
Sterna	Extant	0.0117	0.126
Sterna	Extant	0.0117	0.126
Sterna	Extant	0	0.0117
