Species	Status	min_age	max_age
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisinuata	extinct	383.7	376.1
Athyris_bisulcata	extinct	383.7	376.1
Athyris_bisulcata	extinct	383.7	376.1
Athyris_coloradensis	extinct	364.7	360.7
Athyris_coloradensis	extinct	364.7	360.7
Athyris_coloradensis	extinct	364.7	360.7
Athyris_coloradensis	extinct	364.7	360.7
Athyris_coloradensis	extinct	364.7	360.7
Athyris_coloradensis	extinct	364.7	360.7
Athyris_coloradensis	extinct	364.7	360.7
Athyris_coloradensis	extinct	364.7	360.7
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_communis	extinct	383.7	376.1
Athyris_concentrica	extinct	364.7	360.7
Athyris_concentrica	extinct	376.1	360.7
Athyris_concentrica	extinct	376.1	360.7
Athyris_concentrica	extinct	376.1	360.7
Athyris_concentrica	extinct	376.1	360.7
Athyris_concentrica	extinct	376.1	360.7
Athyris_concentrica	extinct	376.1	360.7
Athyris_concentrica	extinct	376.1	360.7
Athyris_concentrica	extinct	376.1	360.7
