Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	LogBodyMass	Eurasia	NAmerica	Temperature	Humans
0	0	0	0	0	1	0	0	0.278327810358799	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	0.98591694233765	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	0.94569705280643	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	0.844741015891142	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	0.884849018455224	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	1.22802628864389	1	1	1.13438348486155	0
0	0	0	1	0	0	0	0	-1.08267955716037	1	0	1.25567411260015	0
0	0	0	0	0	0	0	1	-0.903837076848465	1	0	1.25567411260015	0
0	0	0	0	0	0	0	1	0.201848411646293	1	0	1.25567411260015	0
0	0	1	0	0	0	0	0	1.71783605187238	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	0.0334169469824893	1	1	1.13438348486155	0
0	0	0	0	1	0	0	0	0.774024278311452	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	0.0794573371928981	1	0	1.25567411260015	0
0	0	0	0	1	0	0	0	0.559674159819958	1	0	1.25567411260015	0
0	0	0	0	1	0	0	0	0.271134200970816	1	0	1.25567411260015	0
0	0	0	0	1	0	0	0	0.542317143490669	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.803531710784981	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.378784338439204	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	0.584553126032591	1	0	1.25567411260015	0
0	0	0	0	1	0	0	0	0.243859296670935	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	2.04764054796059	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	-0.26885845765852	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	1.89946832068567	0	1	0.829857591963752	0
0	0	0	0	0	0	0	1	-1.22744398645838	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	1.43229647818594	0	1	0.829857591963752	0
0	0	0	0	0	0	1	0	1.74759066165103	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.404443056398318	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.298430557832922	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.739142682519673	0	1	0.829857591963752	0
0	0	1	0	0	0	0	0	-0.704390513074594	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.631227978510756	1	1	1.13438348486155	0
0	1	0	0	0	0	0	0	-0.713968282946352	0	1	0.829857591963752	0
0	0	0	0	0	0	0	1	-1.39311766245534	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.256611301501684	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	-0.21575351341462	0	1	0.829857591963752	0
0	0	0	0	0	0	0	1	-0.611840207685399	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.120358854590022	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	0.0929335083864557	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.389830942151099	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.0423505478897191	1	0	1.25567411260015	0
0	0	0	0	1	0	0	0	0.0611605108730075	1	0	1.25567411260015	0
0	1	0	0	0	0	0	0	0.730547921835425	1	0	1.25567411260015	0
0	0	0	0	1	0	0	0	0.818229878474174	1	0	1.25567411260015	0
0	0	1	0	0	0	0	0	-0.0804096212578605	1	1	1.13438348486155	0
0	0	1	0	0	0	0	0	0.86839486359488	1	1	1.13438348486155	0
1	0	0	0	0	0	0	0	1.45320878362573	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.374027559371468	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	2.3213863744308	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	1.40610983934915	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.574496398599547	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-1.18940547640541	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	-1.60194341365729	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.24387134035848	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	0.201871443163228	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.0372264203497067	0	1	0.829857591963752	0
0	0	1	0	0	0	0	0	1.17303090775919	1	1	1.13438348486155	0
0	0	0	0	0	0	0	1	-0.421536125405679	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	2.06317904014223	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.105062000347253	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.983592613918571	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.140252745837597	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.615425029862447	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-1.16293813190817	1	0	1.25567411260015	0
