age	temp
0.818	-2.978
0.82	-2.82546666666667
0.822	-2.78733333333333
0.824	-2.1772
0.826	-3.12466666666667
0.828	-3.07186666666667
0.83	-3.462
0.832	-2.99266666666666
0.834	-2.73746666666667
0.836	-2.81373333333333
0.838	-2.89
0.84	-4.01933333333333
0.842	-2.77266666666667
0.844	-2.56146666666667
0.846	-2.098
0.848	-1.86333333333333
0.85	-2.23
0.852	-1.438
0.854	-2.09213333333333
0.856	-2.69933333333333
0.858	-2.36786666666667
0.86	-2.1684
0.862	-1.97186666666667
0.864	-1.79586666666667
0.866	-3.04253333333333
0.868	-5.23666666666667
0.87	-5.11933333333333
0.872	-5.63266666666667
0.874	-5.03133333333333
0.876	-5.5388
0.878	-5.41266666666667
0.88	-4.72626666666667
0.882	-4.82893333333333
0.884	-4.93453333333333
0.886	-4.9228
0.888	-4.914
0.89	-5.29533333333333
0.892	-4.84066666666667
0.894	-4.90813333333333
0.896	-4.97266666666667
0.898	-4.298
0.9	-4.386
0.902	-4.18066666666667
0.904	-3.726
0.906	-2.978
0.908	-3.82866666666667
0.91	-3.62333333333333
0.912	-3.19213333333333
0.914	-3.16866666666667
0.916	-3.03666666666667
0.918	-3.12173333333333
0.92	-3.33
0.922	-3.47373333333333
0.924	-4.122
0.926	-3.93426666666667
0.928	-5.0988
0.93	-4.54146666666667
0.932	-4.25106666666667
0.934	-3.67906666666667
0.936	-3.69666666666667
0.938	-3.00733333333334
0.94	-3.286
0.942	-2.83133333333333
0.944	-2.57906666666667
0.946	-2.5644
0.948	-2.43533333333333
0.95	-2.03053333333333
0.952	-1.61986666666667
0.954	-1.35
0.956	-1.30306666666667
0.958	-0.951066666666666
0.96	-0.6988
0.962	-0.7956
0.964	-3.47666666666667
0.966	-2.16253333333333
0.968	-4.2892
0.97	-4.1044
0.972	-4.1044
0.974	-3.286
0.976	-3.30066666666667
0.978	-2.8724
0.98	-3.022
0.982	-2.40013333333333
0.984	-2.44413333333333
0.986	-3.43266666666667
0.988	-3.39453333333333
0.99	-3.25666666666667
0.992	-3.3212
0.994	-3.7084
0.996	-3.374
0.998	-2.82546666666667
1	-2.53213333333333
1.002	-2.494
1.004	-2.5908
1.006	-3.2244
1.008	-2.94866666666667
1.01	-3.34173333333333
1.012	-3.45613333333333
1.014	-3.3388
1.016	-3.506
1.018	-2.8108
1.02	-2.78733333333333
1.022	-2.1596
1.024	-2.01
1.026	-2.39133333333333
1.028	-2.15373333333333
1.03	-2.54386666666667
1.032	-2.8108
1.034	-3.65853333333333
1.036	-4.09266666666667
1.038	-4.54146666666667
1.04	-4.518
1.042	-3.8492
1.044	-4.3596
1.046	-4.19533333333333
1.048	-4.11026666666667
1.05	-4.298
1.052	-4.1484
1.054	-4.0428
1.056	-3.98413333333333
1.058	-3.43266666666667
1.06	-2.87826666666667
1.062	-2.3268
1.064	-2.5996
1.066	-2.15666666666667
1.068	-1.834
1.07	-1.08306666666667
1.072	-1.45266666666667
1.074	-1.3324
1.076	-1.80466666666667
1.078	-2.274
1.08	-1.98946666666667
1.082	-2.53213333333333
1.084	-3.11
1.086	-2.8548
1.088	-3.08066666666667
1.09	-3.4356
